group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2021-06-14_2,ang20210614t131554,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t131554.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t131554rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t131554rfl.hdr,426_Jurapark_1,2,231,32.34,2021/06/14 13:15:54+00,6412
2021-06-14_2,ang20210614t132344,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t132344.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t132344rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t132344rfl.hdr,426_Jurapark_2,2.1,233.68,33.38,2021/06/14 13:23:44+00,6413
2021-06-14_2,ang20210614t133159,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133159.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133159rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133159rfl.hdr,426_Jurapark_3,1.9,236.38,34.51,2021/06/14 13:31:59+00,6414
2021-06-14_2,ang20210614t133949,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133949.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133949rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t133949rfl.hdr,426_Jurapark_4,2,238.82,35.62,2021/06/14 13:39:49+00,6415
2021-06-14_2,ang20210614t134802,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t134802.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t134802rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t134802rfl.hdr,426_Jurapark_5,2,241.28,36.81,2021/06/14 13:48:02+00,6416
2021-06-14_2,ang20210614t135532,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t135532.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t135532rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t135532rfl.hdr,426_Jurapark_6,1.9,243.41,37.92,2021/06/14 13:55:32+00,6417
2021-06-14_2,ang20210614t140310,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t140310.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t140310rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t140310rfl.hdr,426_Jurapark_7,2,245.54,39.08,2021/06/14 14:03:10+00,6418
2021-06-14_2,ang20210614t141018,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141018.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141018rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141018rfl.hdr,426_Jurapark_8,1.9,247.44,40.18,2021/06/14 14:10:18+00,6419
2021-06-14_2,ang20210614t141651,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141651.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141651rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t141651rfl.hdr,426_Jurapark_9,2,249.17,41.21,2021/06/14 14:16:51+00,6420
2021-06-14_2,ang20210614t142127,,Andy Hueni,21M013,https://popo.jpl.nasa.gov/avng/y21/ang20210614t142127.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t142127rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y21/ang20210614t142127rfl.hdr,426_Jurapark_10,1.8,250.31,41.93,2021/06/14 14:21:27+00,6421
