group,line,priority,Investigator,NASA.Log,obsorturl,rflurl,rflhdr,Site.Name,pixel.size..m.,solar.azimuth,solar.elevation,start_time,line_id
2017-06-24_2,ang20170624t183959,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t183959rfl.hdr,AVng_191A-191Z_FL180,5.1,148.2,41.41,2017/06/24 18:39:59+00,2319
2017-06-24_2,ang20170624t185017,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170624t185017rfl.hdr,AVng_192A-192Z_FL181,5.1,152.19,40.86,2017/06/24 18:50:17+00,2320
2017-06-28_4,ang20170628t173155,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t173155rfl.hdr,ABoVE Test Run,5.6,128.59,43.18,2017/06/28 17:31:55+00,2326
2017-06-28_5,ang20170628t175926,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170628t175926rfl.hdr,ABoVE Test Run,5,133.82,40.26,2017/06/28 17:59:26+00,2327
2017-07-01_3,ang20170701t182520,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t182520rfl.hdr,AVng_222D-222Z_FL184,2.8,109.16,55.6,2017/07/01 18:25:20+00,2330
2017-07-01_3,ang20170701t183738,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170701t183738rfl.hdr,AVng_222D-222Z_FL184,4.9,111.89,54.5,2017/07/01 18:37:38+00,2331
2017-07-06_1,ang20170706t181605,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t181605rfl.hdr,AVng_252A-252Z_FL179,5.1,112.29,55.09,2017/07/06 18:16:05+00,2335
2017-07-06_2,ang20170706t183519,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t183519rfl.hdr,AVng_242A-242Z_FL194,4.7,115.54,53.3,2017/07/06 18:35:19+00,2336
2017-07-06_2,ang20170706t184209,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t184209rfl.hdr,AVng_247A-247Z_FL192,4.7,116.45,52.92,2017/07/06 18:42:09+00,2337
2017-07-06_2,ang20170706t185049,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t185049rfl.hdr,AVng_243A-243Z_FL192,4.8,118.65,52.09,2017/07/06 18:50:49+00,2338
2017-07-06_2,ang20170706t190214,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t190214rfl.hdr,Serendipity Line (tbd),4.6,122.99,50.64,2017/07/06 19:02:14+00,2339
2017-07-06_1,ang20170706t191053,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t191053rfl.hdr,Serendipity Line,5,126.64,49.85,2017/07/06 19:10:53+00,2340
2017-07-06_3,ang20170706t192052,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170706t192052rfl.hdr,AVng_257A-257Z_FL183,5,130.97,48.54,2017/07/06 19:20:52+00,2341
2017-07-07_7,ang20170707t200100,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t200100rfl.hdr,AVng_202A-202B_FL175,5.1,119.07,50.2,2017/07/07 20:01:00+00,2361
2017-07-07_10,ang20170707t233001,1,Charles Miller,17M039b,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170707t233001rfl.hdr,AVng_221G-221Z_FL181,5,199.9,42.64,2017/07/07 23:30:01+00,2367
2017-07-08_1,ang20170708t181228,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t181228rfl.hdr,Serendipitous Line,4.8,113.57,55.63,2017/07/08 18:12:28+00,2369
2017-07-08_3,ang20170708t191716,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t191716rfl.hdr,Serendipitous Line (N67.134 W143.39),5,134.43,50.09,2017/07/08 19:17:16+00,2373
2017-07-08_2,ang20170708t193118,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t193118rfl.hdr,AVng_322B-322Z_FL179,5.1,136.66,49.26,2017/07/08 19:31:18+00,2374
2017-07-08_1,ang20170708t194013,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t194013rfl.hdr,AVng_322A-322B_FL179,5.1,138.15,48.59,2017/07/08 19:40:13+00,2375
2017-07-08_5,ang20170708t195324,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t195324rfl.hdr,AVng_321A-321B_FL178,5.1,141.66,47.84,2017/07/08 19:53:24+00,2376
2017-07-08_2,ang20170708t200159,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t200159rfl.hdr,AVng_321B-321Z_FL178,5.1,145.38,47.46,2017/07/08 20:01:59+00,2377
2017-07-08_6,ang20170708t202625,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t202625rfl.hdr,Serendipitous Line (N67.429 W147.408),4.5,150.49,47.46,2017/07/08 20:26:25+00,2378
2017-07-08_7,ang20170708t204342,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t204342rfl.hdr,AVng_334A-334Z_FL207,4.5,154.42,47.32,2017/07/08 20:43:42+00,2379
2017-07-08_8,ang20170708t205457,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t205457rfl.hdr,AVng_372A-372Z_FL203,4.3,158.58,47.37,2017/07/08 20:54:57+00,2380
2017-07-08_9,ang20170708t210315,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t210315rfl.hdr,AB_T01_L001_FL187,4.8,161.92,47.42,2017/07/08 21:03:15+00,2381
2017-07-08_10,ang20170708t211541,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t211541rfl.hdr,AVng_370A-370Z_FL182 (gas/oil facility end of line),4.9,166.07,47.43,2017/07/08 21:15:41+00,2382
2017-07-08_10,ang20170708t212546,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t212546rfl.hdr,AB_B13_L002_FL180_BigSkyLake,5.1,169.26,47.49,2017/07/08 21:25:46+00,2383
2017-07-08_11,ang20170708t213057,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t213057.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t213057rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t213057rfl.hdr,AB_T01_L002_FL178,5.1,170.87,47.62,2017/07/08 21:30:57+00,2384
2017-07-08_11,ang20170708t214134,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170708t214134.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t214134rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t214134rfl.hdr,AB_T01_L003_FL176,5.1,174.37,47.77,2017/07/08 21:41:34+00,2385
2017-07-08_12,ang20170708t230956,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170708t230956.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t230956rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t230956rfl.hdr,AB_B02_L008_FL175_DeadhorseEner,2.9,201.98,49.13,2017/07/08 23:09:56+00,2386
2017-07-08_12,ang20170708t232509,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170708t232509.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t232509rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t232509rfl.hdr,AB_B02_L003_FL175_DeadhorseEner,2.9,206.41,49.56,2017/07/08 23:25:09+00,2387
2017-07-08_12,ang20170708t233803,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170708t233803.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t233803rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170708t233803rfl.hdr,AB_B02_L001_FL175_DeadhorseEner,2.9,210.23,50.03,2017/07/08 23:38:03+00,2388
2017-07-09_1,ang20170709t000442,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t000442.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t000442rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t000442rfl.hdr,AB_B02_L002_FL175_DeadhorseEner,2.9,218.04,51.32,2017/07/09 00:04:42+00,2389
2017-07-09_1,ang20170709t001900,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t001900.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t001900rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t001900rfl.hdr,AB_B02_L005_FL175_DeadhorseEner,2.9,222.17,52.16,2017/07/09 00:19:00+00,2390
2017-07-09_1,ang20170709t003728,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t003728.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t003728rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t003728rfl.hdr,AB_T01_L003_FL176,5.2,227.36,53.07,2017/07/09 00:37:28+00,2391
2017-07-09_2,ang20170709t004846,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t004846.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t004846rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t004846rfl.hdr,AB_B13_L003_FL180_BigSkyLake,5.1,230.73,53.48,2017/07/09 00:48:46+00,2392
2017-07-09_3,ang20170709t010449,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t010449.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t010449rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t010449rfl.hdr,AVng_373A-373Z_FL202,4.4,234.85,53.85,2017/07/09 01:04:49+00,2393
2017-07-09_4,ang20170709t012605,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t012605.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t012605rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t012605rfl.hdr,AVng_335D-335Z_FL190,4.8,240.46,54.48,2017/07/09 01:26:05+00,2394
2017-07-09_5,ang20170709t013933,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t013933.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t013933rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t013933rfl.hdr,AVng_335A-335D_FL187,4.9,243.72,55.08,2017/07/09 01:39:33+00,2395
2017-07-09_6,ang20170709t191907,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t191907.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t191907rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t191907rfl.hdr,AB_B12_L003_FL176_CoffeeLake,5.1,122.56,55.91,2017/07/09 19:19:07+00,2396
2017-07-09_6,ang20170709t192500,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t192500.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t192500rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t192500rfl.hdr,AB_B12_L002_FL176_CoffeeLake,5.1,124.04,55.53,2017/07/09 19:25:00+00,2397
2017-07-09_6,ang20170709t193321,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t193321.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t193321rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t193321rfl.hdr,AVng_384A-384Z_FL175,5.1,126.41,54.89,2017/07/09 19:33:21+00,2398
2017-07-09_7,ang20170709t195215,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t195215.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t195215rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t195215rfl.hdr,AVng_392A-392Z_FL175,5.1,133.7,53.5,2017/07/09 19:52:15+00,2399
2017-07-09_6,ang20170709t201525,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170709t201525.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t201525rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t201525rfl.hdr,Serendipitous Line (N70.987 W156.695),5.1,138.64,52.27,2017/07/09 20:15:25+00,2400
2017-07-09_8,ang20170709t202038,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t202038.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t202038rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t202038rfl.hdr,AVng_393A-393Z_FL175,5,139.42,52.33,2017/07/09 20:20:38+00,2401
2017-07-09_9,ang20170709t203930,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t203930.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t203930rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t203930rfl.hdr,AB_B01_L001_FL175_Barrow,4.7,146.25,51.59,2017/07/09 20:39:30+00,2402
2017-07-09_9,ang20170709t224222,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224222.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224222rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224222rfl.hdr,AB_B01_L001_FL175_Barrow,5.1,183.22,49.03,2017/07/09 22:42:22+00,2403
2017-07-09_9,ang20170709t224839,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224839.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224839rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t224839rfl.hdr,AB_B01_L002_FL175_Barrow,5.1,185.18,49.1,2017/07/09 22:48:39+00,2404
2017-07-09_9,ang20170709t225457,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t225457.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t225457rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t225457rfl.hdr,AB_B01_L003_FL175_Barrow,5.1,187.22,49.16,2017/07/09 22:54:57+00,2405
2017-07-09_9,ang20170709t230326,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t230326.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t230326rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t230326rfl.hdr,AB_B10_L003_FL175_PipelineLake,5.1,189.55,49.2,2017/07/09 23:03:26+00,2406
2017-07-09_9,ang20170709t231121,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231121.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231121rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231121rfl.hdr,AB_B11_L003_FL175_SukokLake,5.1,191.82,49.15,2017/07/09 23:11:21+00,2407
2017-07-09_9,ang20170709t231636,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231636.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231636rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t231636rfl.hdr,AB_B11_L002_FL175_SukokLake,5.2,193.51,49.24,2017/07/09 23:16:36+00,2408
2017-07-09_9,ang20170709t232308,1,Charles Miller,17M039e,https://popo.jpl.nasa.gov/avng/y17/ang20170709t232308.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t232308rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t232308rfl.hdr,AB_B10_L002_FL175_PipelineLake,5.1,195.59,49.52,2017/07/09 23:23:08+00,2409
2017-07-09_9,ang20170709t233000,1,Charles Miller,17M039d,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233000.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233000rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233000rfl.hdr,AB_B01_L004_FL175_Barrow,5.2,197.89,49.8,2017/07/09 23:30:00+00,2410
2017-07-09_9,ang20170709t233755,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233755.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233755rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t233755rfl.hdr,Serendipitous Line,5.1,199.5,49.72,2017/07/09 23:37:55+00,2411
2017-07-09_8,ang20170709t234558,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t234558.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t234558rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t234558rfl.hdr,AVng_393A-393Z_FL175,5.1,201.48,49.59,2017/07/09 23:45:58+00,2412
2017-07-09_6,ang20170709t235600,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170709t235600.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t235600rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170709t235600rfl.hdr,AVng_384A-384Z_FL175,5.1,204.94,49.63,2017/07/09 23:56:00+00,2413
2017-07-10_1,ang20170710t000507,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170710t000507.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170710t000507rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170710t000507rfl.hdr,Serendipitous Line (N70.06 W156.95),5.1,208.96,49.58,2017/07/10 00:05:07+00,2414
2017-07-11_1,ang20170711t191158,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t191158.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t191158rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t191158rfl.hdr,AVng_325A-325D_FL183,5.1,134.95,50.45,2017/07/11 19:11:58+00,2415
2017-07-11_2,ang20170711t193324,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t193324.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t193324rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t193324rfl.hdr,AVng_325D-325Z_FL187,5,143.62,48.88,2017/07/11 19:33:24+00,2416
2017-07-11_3,ang20170711t195235,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t195235.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t195235rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t195235rfl.hdr,AVng_311A-311Z_FL184,4.8,150.86,48.05,2017/07/11 19:52:35+00,2417
2017-07-11_3,ang20170711t200250,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t200250.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t200250rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t200250rfl.hdr,AVng_313A-313Z_FL184,4.8,153.92,47.66,2017/07/11 20:02:50+00,2418
2017-07-11_3,ang20170711t201317,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t201317.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t201317rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t201317rfl.hdr,AVng_312A-312Z_FL185,4.8,157.71,47.38,2017/07/11 20:13:17+00,2419
2017-07-11_3,ang20170711t202239,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t202239.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t202239rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t202239rfl.hdr,AVng_311A-311Z_FL184,4.8,160.19,46.89,2017/07/11 20:22:39+00,2420
2017-07-11_2,ang20170711t203304,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170711t203304.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t203304rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t203304rfl.hdr,AVng_325D-325Z_FL187,4.8,162.09,46.28,2017/07/11 20:33:04+00,2421
2017-07-11_4,ang20170711t210917,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170711t210917.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t210917rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170711t210917rfl.hdr,Serendipitous Line (N66.79 W145.55),5,165.6,45.19,2017/07/11 21:09:17+00,2422
2017-07-12_1,ang20170712t212935,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170712t212935.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t212935rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t212935rfl.hdr,Serendipitous Line (N65.05 W153.338),5.1,162.75,44.24,2017/07/12 21:29:35+00,2423
2017-07-12_2,ang20170712t214253,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170712t214253.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t214253rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t214253rfl.hdr,AVng_333D-333Z_FL186,4.9,165.54,44.25,2017/07/12 21:42:53+00,2424
2017-07-12_3,ang20170712t215346,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170712t215346.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t215346rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t215346rfl.hdr,AVng_333A-333D_FL178,5.1,167.49,43.99,2017/07/12 21:53:46+00,2425
2017-07-12_4,ang20170712t221426,1,Charles Miller,17M039c,https://popo.jpl.nasa.gov/avng/y17/ang20170712t221426.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t221426rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t221426rfl.hdr,AVng_341D-341Z_FL187,4.9,171.28,43.51,2017/07/12 22:14:26+00,2426
2017-07-12_6,ang20170712t225153,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225153.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225153rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225153rfl.hdr,Serendipitous Line,5.2,179.32,42.95,2017/07/12 22:51:53+00,2428
2017-07-12_7,ang20170712t225940,1,Charles Miller,,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225940.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225940rfl.tar.gz,https://popo.jpl.nasa.gov/avng/y17/ang20170712t225940rfl.hdr,Serendipitous Line,5.2,180.23,42.87,2017/07/12 22:59:40+00,2429
