jplgroup,Lines,url,rfl,rflhdr
2017_07_06_c01,ang20170706t184209,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t184209.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t184209_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t184209_rfl.hdr
2017_07_06_c01,ang20170706t185049,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t185049.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t185049_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t185049_rfl.hdr
2017_07_06_c01,ang20170706t190214,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t190214.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t190214_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t190214_rfl.hdr
2017_07_06_c02,ang20170706t192052,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t192052.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t192052_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t192052_rfl.hdr
2017_07_06_c02,ang20170706t193409,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t193409.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t193409_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t193409_rfl.hdr
2017_07_06_c02,ang20170706t193608,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t193608.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t193608_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t193608_rfl.hdr
2017_07_06_c02,ang20170706t214051,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t214051.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t214051_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t214051_rfl.hdr
2017_07_06_c03,ang20170706t195616,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t195616.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t195616_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t195616_rfl.hdr
2017_07_06_c03,ang20170706t201837,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t201837.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t201837_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t201837_rfl.hdr
2017_07_06_c03,ang20170706t211917,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t211917.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t211917_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t211917_rfl.hdr
2017_07_06_c04,ang20170706t203356,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t203356.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t203356_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t203356_rfl.hdr
2017_07_06_c04,ang20170706t204753,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t204753.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t204753_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t204753_rfl.hdr
2017_07_06_c04,ang20170706t210717,https://avng.jpl.nasa.gov/avng/y17_data/ang20170706t210717.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t210717_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170706t210717_rfl.hdr
2017_07_07_c00,ang20170707t001810,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t001810.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t001810_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t001810_rfl.hdr
2017_07_07_c00,ang20170707t003935,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t003935.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t003935_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t003935_rfl.hdr
2017_07_07_c00,ang20170707t004917,https://avng.jpl.nasa.gov/avng/y17_data/ang20170707t004917.tar.gz,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t004917_rfl,https://avng.jpl.nasa.gov/pub/DThompson/above_revised4/ang20170707t004917_rfl.hdr
